AFRICA,非洲
AGENT,代理
AIR,空氣
ALIEN,異形
ALPS,阿爾北斯
AMAZON,亞馬遜
AMBULANCE,救護車
AMERICA,美國
ANGEL,天使
ANTARCTICA,南極洲
APPLE,蘋果
ARM,臂
ATLANTIS,亞特蘭提斯
AUSTRALIA,澳大利亞
AZTEC,AZTEC
BACK,背部
BALL,球
BAND,帶
BANK,銀行
BAR,酒吧
BARK,吠
BAT,蝙蝠
BATTERY,電池
BEACH,海灘
BEAR,熊
BEAT,擊敗
BED,床
BEIJING,北京
BELL,鐘
BELT,帶
BERLIN,柏林
BERMUDA,百慕大
BERRY,漿果
BILL,法案
BLOCK,塊
BOARD,板
BOLT,螺栓
BOMB,炸彈
BOND,鍵
BOOM,繁榮
BOOT,BOOT
BOTTLE,瓶子
BOW,弓
BOX,箱
BRIDGE,橋
BRUSH,刷
BUCK,公鹿
BUFFALO,水牛
BUG,蟲
BUGLE,號角
BUTTON,按鈕
CALF,小牛
CANADA,加拿大
CAP,帽
CAPITAL,首都
CAR,汽車
CARD,卡
CARROT,胡蘿蔔
CASINO,賭場
CAST,投
CAT,貓
CELL,細胞
CENTAUR,半人馬
CENTER,中央
CHAIR,椅子
CHANGE,更改
CHARGE,收費
CHECK,檢查
CHEST,胸部
CHICK,小雞
CHINA,中國
CHOCOLATE,巧克力
CHURCH,教會
CIRCLE,圈
CLIFF,懸崖
CLOAK,披風
CLUB,俱樂部
CODE,碼
COLD,冷
COMIC,COMIC
COMPOUND,複合
CONCERT,音樂會
CONDUCTOR,導體
CONTRACT,合同
COOK,廚師
COPPER,銅
COTTON,棉
COURT,法庭
COVER,蓋
CRANE,起重機
CRASH,CRASH
CRICKET,蟋蟀
CROSS,交叉
CROWN,王冠
CYCLE,週期
CZECH,捷克
DANCE,舞蹈
DATE,日期
DAY,天
DEATH,死亡
DECK,甲板
DEGREE,度
DIAMOND,鑽石
DICE,骰子
DINOSAUR,恐龍
DISEASE,疾病
DOCTOR,醫生
DOG,狗
DRAFT,草案
DRAGON,龍
DRESS,連衣裙
DRILL,鑽頭
DROP,下降
DUCK,鴨
DWARF,矮人
EAGLE,鷹
EGYPT,埃及
EMBASSY,大使館
ENGINE,發動機
ENGLAND,英國
EUROPE,歐洲
EYE,眼
FACE,面對
FAIR,公平
FALL,秋季
FAN,風扇
FENCE,FENCE
FIELD,領域
FIGHTER,戰鬥機
FIGURE,數字
FILE,文件
FILM,電影
FIRE,火
FISH,魚
FLUTE,長笛
FLY,飛
FOOT,腳丫子
FORCE,力
FOREST,森林
FORK,叉子
FRANCE,法國
GAME,遊戲
GAS,加油站
GENIUS,天才
GERMANY,德國
GHOST,鬼
GIANT,巨人
GLASS,玻璃
GLOVE,手套
GOLD,金
GRACE,恩典
GRASS,草
GREECE,希臘
GREEN,綠色
GROUND,地面
HAM,火腿
HAND,手
HAWK,鷹
HEAD,頭
HEART,心
HELICOPTER,直升機
HIMALAYAS,喜馬拉雅山
HOLE,孔
HOLLYWOOD,好萊塢
HONEY,蜜糖
HOOD,HOOD
HOOK,鉤
HORN,喇叭
HORSE,馬
HORSESHOE,馬蹄鐵
HOSPITAL,醫院
HOTEL,酒店
ICE,冰
ICE CREAM,冰淇淋
INDIA,印度
IRON,鐵
IVORY,象牙
JACK,插口
JAM,果醬
JET,噴射
JUPITER,木星
KANGAROO,袋鼠
KETCHUP,番茄醬
KEY,鍵
KID,KID
KING,國王
KIWI,奇異果
KNIFE,刀
KNIGHT,騎士
LAB,LAB
LAP,LAP
LASER,激光
LAWYER,律師
LEAD,鉛
LEMON,檸檬
LEPRECHAUN,LEPRECHAUN
LIFE,生活
LIGHT,光
LIMOUSINE,LIMOUSINE
LINE,線
LINK,鏈接
LION,獅子
LITTER,LITTER
LOCH NESS,尼斯湖
LOCK,鎖
LOG,日誌
LONDON,倫敦
LUCK,運氣
MAIL,郵件
MAMMOTH,長毛象
MAPLE,楓
MARBLE,大理石
MARCH,遊行
MASS,MASS
MATCH,匹配
MERCURY,汞
MEXICO,墨西哥
MICROSCOPE,顯微鏡
MILLIONAIRE,百萬富翁
MINE,礦
MINT,薄荷
MISSILE,導彈
MODEL,模型
MOLE,痣
MOON,月亮
MOSCOW,莫斯科
MOUNT,安裝
MOUSE,老鼠
MOUTH,口
MUG,杯
NAIL,釘
NEEDLE,針
NET,淨
NEW YORK,紐約
NIGHT,晚
NINJA,忍者
NOTE,注意
NOVEL,小說
NURSE,護士
NUT,堅果
OCTOPUS,章魚
OIL,油
OLIVE,橄欖
OLYMPUS,奧林巴斯
OPERA,歌劇
ORANGE,橙子
ORGAN,器官
PALM,棕櫚
PAN,泛
PANTS,褲子
PAPER,紙
PARACHUTE,降落傘
PARK,公園
PART,部分
PASS,通過
PASTE,糊
PENGUIN,企鵝
PHOENIX,鳳凰
PIANO,鋼琴
PIE,餡餅
PILOT,飛行員
PIN,銷
PIPE,管
PIRATE,海盜
PISTOL,手槍
PIT,坑
PITCH,瀝青
PLANE,PLANE
PLASTIC,塑料
PLATE,盤子
PLATYPUS,鴨嘴獸
PLAY,玩
PLOT,情節
POINT,點
POISON,毒
POLE,極
POLICE,警察
POOL,POOL
PORT,港口
POST,POST
POUND,磅
PRESS,按
PRINCESS,公主
PUMPKIN,南瓜
PUPIL,瞳孔
PYRAMID,金字塔
QUEEN,女王
RABBIT,兔子
RACKET,球拍
RAY,射線
REVOLUTION,革命
RING,環
ROBIN,ROBIN
ROBOT,機器人
ROCK,岩
ROME,羅馬
ROOT,根
ROSE,玫瑰
ROULETTE,ROULETTE
ROUND,回合
ROW,行
RULER,統治者
SATELLITE,衛星
SATURN,SATURN
SCALE,規模
SCHOOL,學校
SCIENTIST,科學家
SCORPION,蠍
SCREEN,屏幕
SCUBA DIVER,潛水員
SEAL,密封
SERVER,服務器
SHADOW,陰影
SHAKESPEARE,SHAKESPEARE
SHARK,鯊魚
SHIP,船
SHOE,鞋
SHOP,店
SHOT,射擊
SINK,水槽
SKYSCRAPER,SKYSCRAPER
SLIP,滑
SLUG,SLUG
SMUGGLER,走私者
SNOW,雪
SNOWMAN,雪人
SOCK,襪子
SOLDIER,士兵
SOUL,靈魂
SOUND,聲音
SPACE,空間
SPELL,拼寫
SPIDER,蜘蛛
SPIKE,穗
SPINE,脊柱
SPOT,點
SPRING,彈簧
SPY,間諜
SQUARE,廣場
STADIUM,體育場
STAFF,員工
STAR,星
STATE,州
STICK,棒
STOCK,股票
STRAW,稻草
STREAM,流
STRIKE,罷工
STRING,串
SUB,SUB
SUIT,適合
SUPERHERO,超級英雄
SWING,搖擺
SWITCH,開關
TABLE,表
TABLET,片劑
TAG,標籤
TAIL,尾巴
TAP,TAP
TEACHER,老師
TELESCOPE,望遠鏡
TEMPLE,寺廟
THEATER,劇院
THIEF,賊
THUMB,拇指
TICK,蜱
TIE,領帶
TIME,時間
TOKYO,東京
TOOTH,齒
TORCH,火炬
TOWER,塔
TRACK,跟踪
TRAIN,培養
TRIANGLE,三角形
TRIP,跳過
TRUNK,樹幹
TUBE,管
TURKEY,火雞
UNDERTAKER,承包商
UNICORN,獨角獸
VACUUM,真空
VAN,VAN
VET,獸醫
WAKE,喚醒
WALL,壁
WAR,戰爭
WASHER,墊圈
WASHINGTON,華盛頓
WATCH,看
WATER,水
WAVE,波
WEB,WEB
WELL,好
WHALE,鯨
WHIP,鞭子
WIND,風
WITCH,巫婆
WORM,蟲
YARD,碼
